pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,city,city_code,population,estimated,percent,latitude
43,20043,503,2,2024-10-10,04:56 PM,23.93,47.86,Large,Vegetarian,"Ham, Pineapple",Margherita,San Antonio,TX,1547000,1393086.0,54.4,-10.6236
44,20044,504,2,2024-10-04,02:51 PM,12.19,24.38,Small,Seafood,"Goat Cheese, Arugula",Meat Lovers,Phoenix,AZ,1686000,1537826.0,65.6,48.5691
45,20045,505,2,2024-10-18,01:13 PM,29.48,58.96,Medium,Meat,"Shrimp, Garlic, Mozzarella",Veggie Deluxe,San Antonio,TX,1547000,1392740.0,51.2,89.3697
46,20046,506,2,2024-10-10,03:08 PM,18.42,36.84,Medium,Gourmet,"Spinach, Feta",Margherita,Los Angeles,CA,3980400,3712890.0,64.9,57.3998
47,20047,507,4,2024-10-17,01:11 PM,21.9,87.6,Medium,Seafood,"Peppers, Onions, Mushrooms",Margherita,San Diego,CA,1426000,1680826.0,44.8,70.6922
48,20048,508,4,2024-10-06,07:39 AM,27.58,110.32,Medium,Seafood,"Pepperoni, Cheese",Pepperoni,New York,NY,8419600,6874342.0,69.1,0.6564
49,20049,509,3,2024-10-17,05:29 PM,10.57,31.71,Large,Meat,"Sausage, Pepperoni, Cheese",Veggie Deluxe,San Diego,CA,1426000,1279669.0,60.6,51.2707
50,20050,500,2,2024-10-18,05:29 PM,11.98,23.96,Medium,Vegetarian,"Tomato, Mozzarella, Basil",Shrimp Pizza,Chicago,IL,2716000,3198348.0,51.9,-40.4329
51,20051,501,3,2024-10-30,03:21 PM,18.1,54.3,Large,Vegetarian,"Tomato, Mozzarella, Basil",Shrimp Pizza,Houston,TX,2328000,2738376.0,68.8,-71.4057
52,20052,502,1,2024-10-13,06:25 PM,21.02,21.02,Medium,Meat,"Sausage, Pepperoni, Cheese",Margherita,San Diego,CA,1426000,1470089.0,44.9,44.9026
53,20053,503,2,2024-10-22,07:22 PM,23.15,46.3,Small,Meat,"BBQ Chicken, Cheese",Spinach & Feta,Dallas,TX,1340000,1314710.0,46.8,46.8352
54,20054,504,1,2024-10-26,03:04 PM,20.2,20.2,Large,Meat,"Sausage, Pepperoni, Cheese",Hawaiian,Los Angeles,CA,3980400,4396551.0,51.6,43.8207
55,20055,505,1,2024-10-10,05:59 AM,27.55,27.55,Medium,Seafood,"Peppers, Onions, Mushrooms",Spinach & Feta,Philadelphia,PA,1584200,1331489.0,50.9,0.9558
56,20056,506,4,2024-10-26,01:40 AM,11.34,45.36,Large,Meat,"Shrimp, Garlic, Mozzarella",Margherita,San Jose,CA,1035000,1106362.0,48.5,-67.4925
57,20057,507,1,2024-10-29,07:27 PM,11.8,11.8,Small,Seafood,"Goat Cheese, Arugula",Veggie Deluxe,Phoenix,AZ,1686000,1631221.0,61.6,36.0247
58,20058,508,2,2024-11-01,06:52 PM,11.7,23.4,Small,Meat,"Goat Cheese, Arugula",Spinach & Feta,San Jose,CA,1035000,1166820.0,67.3,-82.0559
59,20059,509,3,2024-10-25,12:09 PM,19.3,57.9,Medium,Seafood,"Pepperoni, Cheese",Pesto Veggie,San Antonio,TX,1547000,1441779.0,48.7,-33.0083
60,20060,500,4,2024-10-24,08:14 AM,25.34,101.36,Small,Seafood,"BBQ Chicken, Cheese",Shrimp Pizza,Houston,TX,2328000,2669506.0,41.5,41.1567
61,20061,501,5,2024-11-01,12:46 AM,16.82,84.1,Medium,Meat,"Peppers, Onions, Mushrooms",Meat Lovers,San Antonio,TX,1547000,1287781.0,57.3,80.0802
62,20062,502,2,2024-10-21,06:20 AM,14.44,28.88,Small,Seafood,"Tomato, Basil, Mozzarella",Pepperoni,Los Angeles,CA,3980400,3638682.0,45.0,-39.8291
63,20063,503,2,2024-10-19,03:14 AM,17.32,34.64,Large,Gourmet,"Spinach, Feta",Hawaiian,Phoenix,AZ,1686000,1796902.0,45.9,65.6914
64,20064,504,3,2024-10-10,02:17 PM,16.83,50.49,Large,Gourmet,"Tomato, Basil, Mozzarella",Meat Lovers,Dallas,TX,1340000,1360487.0,67.7,-3.0272
65,20065,505,4,2024-10-24,06:14 PM,22.25,89.0,Small,Seafood,"Spinach, Feta",BBQ Chicken,San Diego,CA,1426000,1605657.0,44.8,-3.0273
66,20066,506,1,2024-10-21,05:25 PM,25.29,25.29,Large,Seafood,"Goat Cheese, Arugula",Pepperoni,Phoenix,AZ,1686000,1525034.0,68.8,-62.1875
67,20067,507,4,2024-10-29,03:07 PM,14.32,57.28,Small,Vegetarian,"Tomato, Basil, Mozzarella",Caprese,San Diego,CA,1426000,1577718.0,42.8,11.0381
68,20068,508,2,2024-10-27,10:35 AM,20.24,40.48,Large,Vegetarian,"Ham, Pineapple",Margherita,Houston,TX,2328000,2280524.0,62.1,-24.9751
69,20069,509,1,2024-11-01,11:23 PM,21.52,21.52,Large,Meat,"Ham, Pineapple",Margherita,Los Angeles,CA,3980400,4732052.0,56.6,23.9152
70,20070,500,5,2024-10-31,10:41 AM,11.02,55.1,Medium,Seafood,"Pepperoni, Cheese",BBQ Chicken,Chicago,IL,2716000,2580165.0,60.4,30.4002
71,20071,501,2,2024-10-15,11:30 PM,26.54,53.08,Large,Seafood,"Spinach, Feta",Caprese,San Antonio,TX,1547000,1850507.0,42.0,-31.5325
72,20072,502,1,2024-10-27,07:02 PM,19.54,19.54,Large,Vegetarian,"Ham, Pineapple",Spinach & Feta,Philadelphia,PA,1584200,1324097.0,54.0,-68.1837
73,20073,503,4,2024-10-16,06:56 AM,16.06,64.24,Small,Gourmet,"Peppers, Onions, Mushrooms",Veggie Deluxe,Los Angeles,CA,3980400,4564637.0,52.2,54.4835
74,20074,504,5,2024-10-10,10:21 AM,10.71,53.55,Medium,Vegetarian,"Tomato, Basil, Mozzarella",Caprese,San Jose,CA,1035000,1176149.0,41.0,-31.4432
75,20075,505,2,2024-10-28,09:14 PM,11.59,23.18,Small,Gourmet,"Spinach, Feta",Margherita,San Diego,CA,1426000,1239449.0,64.1,5.5963
76,20076,506,2,2024-10-03,09:22 AM,14.09,28.18,Large,Meat,"Tomato, Mozzarella, Basil",Caprese,San Antonio,TX,1547000,1742435.0,66.4,83.9098
77,20077,507,3,2024-10-31,02:20 PM,11.44,34.32,Large,Vegetarian,"Tomato, Mozzarella, Basil",BBQ Chicken,Dallas,TX,1340000,1538989.0,46.9,9.3694
78,20078,508,4,2024-10-13,12:07 PM,18.96,75.84,Medium,Meat,"Goat Cheese, Arugula",Hawaiian,Philadelphia,PA,1584200,1365567.0,50.5,19.6617
79,20079,509,5,2024-10-16,01:38 AM,25.66,128.3,Large,Gourmet,"Goat Cheese, Arugula",Veggie Deluxe,Philadelphia,PA,1584200,1727656.0,42.3,41.4764
80,20080,500,3,2024-10-26,03:07 PM,25.81,77.43,Small,Meat,"Goat Cheese, Arugula",Spinach & Feta,San Antonio,TX,1547000,1666321.0,56.8,44.0255
81,20081,501,4,2024-10-26,05:58 AM,20.63,82.52,Large,Vegetarian,"Ham, Pineapple",Caprese,San Antonio,TX,1547000,1447368.0,57.3,-74.3454
82,20082,502,3,2024-10-15,09:00 AM,17.4,52.2,Medium,Seafood,"Tomato, Basil, Mozzarella",Margherita,Los Angeles,CA,3980400,4625833.0,67.3,-6.8661
83,20083,503,3,2024-10-12,06:40 PM,16.26,48.78,Large,Meat,"Tomato, Basil, Mozzarella",Caprese,Chicago,IL,2716000,2257711.0,57.2,-58.2284
84,20084,504,4,2024-10-13,01:15 PM,29.38,117.52,Large,Meat,"Ham, Pineapple",Spinach & Feta,San Diego,CA,1426000,1162202.0,63.1,45.2402
85,20085,505,2,2024-10-03,04:57 AM,15.83,31.66,Small,Gourmet,"BBQ Chicken, Cheese",BBQ Chicken,Phoenix,AZ,1686000,2012134.0,63.1,-6.9868
86,20086,506,3,2024-10-22,08:18 AM,21.56,64.68,Medium,Seafood,"BBQ Chicken, Cheese",Caprese,Chicago,IL,2716000,2349215.0,67.6,-50.1938
87,20087,507,4,2024-10-09,05:50 PM,26.59,106.36,Small,Meat,"Shrimp, Garlic, Mozzarella",Caprese,Houston,TX,2328000,2303948.0,49.7,-78.1326
88,20088,508,2,2024-10-28,03:17 PM,26.13,52.26,Medium,Meat,"Tomato, Basil, Mozzarella",Margherita,Dallas,TX,1340000,1501926.0,64.8,-82.7748
89,20089,509,4,2024-10-08,05:39 AM,23.96,95.84,Large,Seafood,"Sausage, Pepperoni, Cheese",Pesto Veggie,New York,NY,8419600,10002352.0,64.3,69.468
90,20090,500,2,2024-10-31,10:22 PM,11.6,23.2,Medium,Vegetarian,"Goat Cheese, Arugula",Spinach & Feta,San Diego,CA,1426000,1604556.0,47.4,-17.7566
91,20091,501,3,2024-10-14,09:34 PM,20.93,62.79,Large,Vegetarian,"BBQ Chicken, Cheese",BBQ Chicken,Dallas,TX,1340000,1108504.0,69.0,40.9548
92,20092,502,4,2024-10-17,12:44 AM,14.29,57.16,Medium,Meat,"Sausage, Pepperoni, Cheese",BBQ Chicken,Phoenix,AZ,1686000,1375680.0,59.4,-50.1455
93,20093,503,3,2024-10-08,04:33 AM,28.29,84.87,Medium,Meat,"Sausage, Pepperoni, Cheese",Spinach & Feta,Dallas,TX,1340000,1382326.0,43.0,62.2564
94,20094,504,5,2024-10-14,05:58 PM,20.75,103.75,Large,Seafood,"Goat Cheese, Arugula",Shrimp Pizza,New York,NY,8419600,6855592.0,53.4,83.3192
95,20095,505,1,2024-10-16,11:21 AM,26.17,26.17,Small,Gourmet,"Goat Cheese, Arugula",Pepperoni,New York,NY,8419600,8905876.0,55.3,-51.9377
96,20096,506,4,2024-10-13,03:32 AM,10.86,43.44,Small,Seafood,"BBQ Chicken, Cheese",Pesto Veggie,San Diego,CA,1426000,1173512.0,54.2,59.2093
97,20097,507,5,2024-10-10,07:02 AM,17.2,86.0,Small,Gourmet,"Ham, Pineapple",Hawaiian,San Diego,CA,1426000,1422754.0,52.1,15.0518
98,20098,508,3,2024-10-14,06:20 AM,27.4,82.2,Medium,Gourmet,"Peppers, Onions, Mushrooms",Meat Lovers,New York,NY,8419600,9300097.0,41.8,29.5248
99,20099,509,3,2024-10-15,02:13 PM,28.82,86.46,Medium,Seafood,"Ham, Pineapple",Hawaiian,Philadelphia,PA,1584200,1395195.0,40.2,-17.8945
100,20100,500,2,2024-10-07,06:45 PM,24.21,48.42,Medium,Seafood,"Pepperoni, Cheese",Meat Lovers,New York,NY,8419600,7723273.0,42.0,-84.8794
101,20101,501,2,2024-10-03,08:13 PM,18.58,37.16,Large,Seafood,"Goat Cheese, Arugula",Veggie Deluxe,Phoenix,AZ,1686000,1748891.0,65.7,-7.6722
102,20102,502,3,2024-10-04,07:24 AM,12.36,37.08,Small,Vegetarian,"BBQ Chicken, Cheese",Caprese,San Jose,CA,1035000,1175407.0,45.9,-70.0955
103,20103,503,4,2024-10-22,02:33 AM,24.67,98.68,Large,Vegetarian,"Ham, Pineapple",BBQ Chicken,New York,NY,8419600,7330706.0,63.1,-19.045
104,20104,504,5,2024-10-14,02:11 PM,13.88,69.4,Small,Meat,"Goat Cheese, Arugula",Hawaiian,Phoenix,AZ,1686000,1968085.0,62.1,-32.7125
105,20105,505,4,2024-10-27,11:36 PM,22.37,89.48,Large,Seafood,"Peppers, Onions, Mushrooms",Shrimp Pizza,San Antonio,TX,1547000,1573900.0,65.8,-37.4828
106,20106,506,1,2024-10-05,04:23 AM,23.16,23.16,Small,Vegetarian,"Shrimp, Garlic, Mozzarella",Veggie Deluxe,Dallas,TX,1340000,1504732.0,50.3,-31.5701
107,20107,507,1,2024-10-14,01:38 PM,17.9,17.9,Small,Gourmet,"Ham, Pineapple",Spinach & Feta,Chicago,IL,2716000,2204242.0,44.4,-20.3645
108,20108,508,5,2024-10-03,06:12 PM,23.76,118.8,Small,Seafood,"Peppers, Onions, Mushrooms",Margherita,Los Angeles,CA,3980400,4478262.0,46.0,70.6231
109,20109,509,5,2024-10-27,08:23 PM,10.54,52.7,Large,Meat,"Spinach, Feta",Caprese,Chicago,IL,2716000,2836761.0,66.6,-1.5736
110,20110,500,5,2024-10-10,06:52 PM,27.24,136.2,Small,Meat,"Tomato, Basil, Mozzarella",Pesto Veggie,Los Angeles,CA,3980400,4767409.0,53.5,71.4879
111,20111,501,3,2024-10-07,06:52 AM,28.15,84.45,Large,Meat,"Sausage, Pepperoni, Cheese",Hawaiian,Philadelphia,PA,1584200,1448045.0,45.3,84.0315
112,20112,502,2,2024-10-28,12:50 AM,29.42,58.84,Large,Gourmet,"Ham, Pineapple",Meat Lovers,Phoenix,AZ,1686000,1877609.0,40.5,38.5831
113,20113,503,1,2024-10-07,09:39 PM,10.81,10.81,Small,Meat,"Peppers, Onions, Mushrooms",Spinach & Feta,Dallas,TX,1340000,1268672.0,61.9,-55.7748
114,20114,504,4,2024-10-21,03:32 PM,13.56,54.24,Large,Meat,"Peppers, Onions, Mushrooms",Veggie Deluxe,Phoenix,AZ,1686000,2022332.0,59.9,52.4782
115,20115,505,4,2024-10-15,04:11 PM,22.72,90.88,Small,Gourmet,"Shrimp, Garlic, Mozzarella",Hawaiian,Chicago,IL,2716000,2219515.0,65.1,-66.8497
116,20116,506,2,2024-10-09,11:13 AM,19.58,39.16,Medium,Meat,"Shrimp, Garlic, Mozzarella",BBQ Chicken,New York,NY,8419600,9297936.0,45.6,-73.843
117,20117,507,4,2024-10-19,05:56 AM,21.33,85.32,Medium,Seafood,"Tomato, Mozzarella, Basil",Pesto Veggie,New York,NY,8419600,8030048.0,53.8,-42.0048
118,20118,508,4,2024-10-05,03:06 PM,17.3,69.2,Small,Meat,"BBQ Chicken, Cheese",Margherita,New York,NY,8419600,9474467.0,65.4,-45.2602
119,20119,509,3,2024-10-29,11:57 PM,15.26,45.78,Large,Gourmet,"Peppers, Onions, Mushrooms",Veggie Deluxe,Los Angeles,CA,3980400,4554832.0,66.2,16.8549
120,20120,500,3,2024-10-06,03:13 AM,28.85,86.55,Small,Gourmet,"Ham, Pineapple",Hawaiian,New York,NY,8419600,9659613.0,66.7,-74.6087
121,20121,501,2,2024-11-02,12:54 AM,21.49,42.98,Medium,Vegetarian,"Ham, Pineapple",Veggie Deluxe,Philadelphia,PA,1584200,1782590.0,48.2,-53.4992
122,20122,502,1,2024-10-10,12:13 PM,20.37,20.37,Medium,Meat,"Tomato, Mozzarella, Basil",Veggie Deluxe,San Antonio,TX,1547000,1425723.0,46.9,85.4251
123,20123,503,2,2024-10-19,05:35 PM,12.44,24.88,Medium,Gourmet,"Tomato, Mozzarella, Basil",Pesto Veggie,New York,NY,8419600,8491097.0,61.1,-9.6384
124,20124,504,2,2024-10-11,04:26 AM,28.46,56.92,Small,Gourmet,"Goat Cheese, Arugula",Pepperoni,San Antonio,TX,1547000,1503253.0,63.8,-59.8811
125,20125,505,1,2024-10-28,10:44 AM,24.44,24.44,Large,Vegetarian,"Spinach, Feta",Shrimp Pizza,San Diego,CA,1426000,1633991.0,62.7,30.4174
126,20126,506,3,2024-10-08,10:15 PM,27.26,81.78,Small,Gourmet,"Shrimp, Garlic, Mozzarella",Pesto Veggie,Los Angeles,CA,3980400,3636054.0,41.8,-4.531
127,20127,507,1,2024-10-29,01:48 AM,21.5,21.5,Small,Gourmet,"Tomato, Basil, Mozzarella",BBQ Chicken,Dallas,TX,1340000,1107008.0,48.9,74.9141
128,20128,508,4,2024-10-24,12:52 AM,11.62,46.48,Small,Seafood,"Tomato, Mozzarella, Basil",Shrimp Pizza,San Diego,CA,1426000,1255711.0,65.4,-16.4442
129,20129,509,2,2024-10-26,06:05 PM,16.89,33.78,Large,Vegetarian,"Goat Cheese, Arugula",BBQ Chicken,Philadelphia,PA,1584200,1612001.0,49.6,-36.6832
130,20130,500,4,2024-10-06,02:24 AM,23.56,94.24,Large,Meat,"Spinach, Feta",Meat Lovers,Los Angeles,CA,3980400,4176932.0,54.1,-16.1341
131,20131,501,4,2024-10-03,11:09 AM,14.63,58.52,Large,Seafood,"Tomato, Mozzarella, Basil",BBQ Chicken,Houston,TX,2328000,2638854.0,61.4,10.6594
132,20132,502,1,2024-11-01,09:44 PM,12.28,12.28,Small,Seafood,"Goat Cheese, Arugula",Pepperoni,Philadelphia,PA,1584200,1859121.0,62.0,70.1427
133,20133,503,3,2024-10-12,08:20 PM,16.67,50.01,Large,Gourmet,"Sausage, Pepperoni, Cheese",Caprese,Chicago,IL,2716000,2960953.0,49.3,6.8348
134,20134,504,1,2024-10-05,11:53 AM,14.51,14.51,Large,Meat,"Shrimp, Garlic, Mozzarella",Shrimp Pizza,San Diego,CA,1426000,1427800.0,58.0,-14.2015
135,20135,505,2,2024-10-06,03:25 PM,21.42,42.84,Large,Meat,"Sausage, Pepperoni, Cheese",Veggie Deluxe,Phoenix,AZ,1686000,1947347.0,67.0,57.1219
136,20136,506,4,2024-10-17,07:46 AM,29.16,116.64,Small,Seafood,"Tomato, Basil, Mozzarella",Caprese,San Jose,CA,1035000,1216776.0,42.5,-17.4688
137,20137,507,5,2024-10-26,10:49 AM,10.99,54.95,Medium,Meat,"Tomato, Mozzarella, Basil",Hawaiian,New York,NY,8419600,9820150.0,45.1,-22.5001
138,20138,508,2,2024-10-08,03:21 PM,14.82,29.64,Large,Meat,"Sausage, Pepperoni, Cheese",Hawaiian,Houston,TX,2328000,2773025.0,60.9,46.4976
139,20139,509,1,2024-10-27,01:24 PM,29.25,29.25,Medium,Gourmet,"Tomato, Mozzarella, Basil",Pepperoni,San Antonio,TX,1547000,1679359.0,63.9,30.0563
140,20140,500,4,2024-10-30,07:59 AM,10.23,40.92,Large,Meat,"Peppers, Onions, Mushrooms",Hawaiian,Chicago,IL,2716000,2612266.0,64.9,85.9778
141,20141,501,3,2024-10-18,08:14 AM,11.66,34.98,Medium,Gourmet,"Tomato, Mozzarella, Basil",Hawaiian,Dallas,TX,1340000,1297292.0,53.8,35.8998
142,20142,502,1,2024-10-09,03:50 PM,12.83,12.83,Large,Vegetarian,"Pepperoni, Cheese",Shrimp Pizza,Chicago,IL,2716000,3098409.0,46.2,27.4078
143,20143,503,4,2024-10-05,12:30 AM,13.35,53.4,Small,Meat,"Ham, Pineapple",Margherita,San Jose,CA,1035000,1128876.0,50.0,-2.5768
144,20144,504,4,2024-10-15,04:57 AM,12.78,51.12,Medium,Meat,"Sausage, Pepperoni, Cheese",Pepperoni,San Antonio,TX,1547000,1743414.0,47.1,-26.1456
145,20145,505,4,2024-10-17,07:31 PM,15.82,63.28,Small,Vegetarian,"Spinach, Feta",Caprese,Los Angeles,CA,3980400,4696370.0,42.0,26.9706
146,20146,506,3,2024-10-26,04:51 PM,25.81,77.43,Medium,Gourmet,"Sausage, Pepperoni, Cheese",Caprese,San Antonio,TX,1547000,1398811.0,59.0,-29.8018
147,20147,507,5,2024-10-28,08:34 AM,12.03,60.15,Small,Gourmet,"Goat Cheese, Arugula",Hawaiian,New York,NY,8419600,9453864.0,51.5,-73.7086
148,20148,508,5,2024-10-28,05:28 PM,12.96,64.8,Small,Vegetarian,"Spinach, Feta",Pesto Veggie,Los Angeles,CA,3980400,3696576.0,63.8,-35.067
149,20149,509,5,2024-10-29,04:25 AM,15.87,79.35,Medium,Vegetarian,"Pepperoni, Cheese",Hawaiian,San Antonio,TX,1547000,1841430.0,53.2,1.458
150,20150,500,2,2024-10-08,02:11 AM,25.07,50.14,Small,Seafood,"BBQ Chicken, Cheese",Shrimp Pizza,Philadelphia,PA,1584200,1423915.0,49.4,41.3935
151,20151,501,1,2024-10-23,12:53 AM,24.4,24.4,Small,Vegetarian,"Pepperoni, Cheese",Pepperoni,San Diego,CA,1426000,1175155.0,50.5,63.567
152,20152,502,2,2024-10-07,09:06 PM,23.6,47.2,Small,Meat,"Spinach, Feta",Spinach & Feta,Philadelphia,PA,1584200,1603510.0,59.8,41.3937
